,P о.пар за кпп п1 т.2,F о.пар за КПП п2,F о.пар за КПП п1,Нормализованный расход,масс.конц-ция CO Влажная,масс.конц-ция NO Влажная,масс.конц-ция O2 Влажная,масс.конц-ция SO2 Влажная,масс. конц-ция пыли  [мг/м3],масс. конц-ция пыли  [мг/м3].1,Текущий массовый расход CO,Текущий массовый расход NO,Текущий массовый расход O2,Текущий массовый расход SO2,Текущий массовый расход пыли,масс. конц-ция пыли  NОx Влажная,F возд до ДВ Б 1,F возд до ДВ А 1
P о.пар за кпп п1 т.2,1.0,0.930783890362783,0.9308392463228956,0.7918148632811757,-0.09200659392312495,-0.0419999819505928,-0.6444822841637285,-0.3972072331927032,0.2431815348388355,0.2431815348388355,0.33697409617426227,0.16818775543087827,0.4098905961957535,0.38835831996618697,0.3398103949889087,-0.04199251812536382,0.8936225854886519,0.9055503548354737
F о.пар за КПП п2,0.930783890362783,1.0,0.9906696425998001,0.7105545335393947,-0.11430039357839021,0.020774162039531516,-0.700825513549368,-0.44794604073759525,0.322914423727074,0.322914423727074,0.26225434666680925,0.21039022211533034,0.2920586274563113,0.288277313369343,0.3965383617828656,0.02078027385204854,0.8638984921274969,0.9532621400446734
F о.пар за КПП п1,0.9308392463228956,0.9906696425998001,1.0,0.7063371781249232,-0.1370038156656144,0.03183765440014561,-0.697550716745809,-0.46519752720540786,0.31789417763521904,0.31789417763521904,0.24292304035065942,0.22130024521733124,0.2927412081549186,0.2753093266406027,0.3890454686703448,0.031838634223261074,0.8441332163872343,0.9409443626226952
Нормализованный расход,0.7918148632811757,0.7105545335393947,0.7063371781249232,1.0,0.18097658606595604,-0.06665245196975464,-0.2204246260244593,-0.04379627704690291,0.19022514441200852,0.19022514441200852,0.6258485131730511,0.17753201093382348,0.8284282352383826,0.7560122362093228,0.36388813422955224,-0.06668141431096063,0.7436091806579834,0.7126048606130382
масс.конц-ция CO Влажная,-0.09200659392312495,-0.11430039357839021,-0.1370038156656144,0.18097658606595604,1.0,0.1377929526391286,0.5513339343755749,0.8456536514905527,0.07627643624682331,0.07627643624682331,0.7812345821102364,0.1645420540306947,0.49407585186708697,0.701132219437993,0.163261910628949,0.13778819025989417,-0.02905937735248513,-0.20745575971921504
масс.конц-ция NO Влажная,-0.0419999819505928,0.020774162039531516,0.03183765440014561,-0.06665245196975464,0.1377929526391286,1.0,0.023739443622111757,0.2176061255435823,0.023348111940770393,0.023348111940770393,0.04395565634150696,0.9618601887404856,-0.04363686309738394,0.08486151464009636,0.0009192137361738707,0.9999894712938466,-0.11276021587163226,0.027549362256613204
масс.конц-ция O2 Влажная,-0.6444822841637285,-0.700825513549368,-0.697550716745809,-0.2204246260244593,0.5513339343755749,0.023739443622111757,1.0,0.8350511294261976,-0.1671449911668169,-0.1671449911668169,0.2613509520305121,-0.05861357023644063,0.3385767979054597,0.34139421892606187,-0.12411249891254877,0.02372428982251376,-0.5855409211505551,-0.6906183071839597
масс.конц-ция SO2 Влажная,-0.3972072331927032,-0.44794604073759525,-0.46519752720540786,-0.04379627704690291,0.8456536514905527,0.2176061255435823,0.8350511294261976,1.0,-0.03177159383398967,-0.03177159383398967,0.5764789888330902,0.1762739426111424,0.42829612599970335,0.6043845379387782,0.033865029777895884,0.21761833675869405,-0.32266279681742016,-0.49686781960063725
масс. конц-ция пыли  [мг/м3],0.2431815348388355,0.322914423727074,0.31789417763521904,0.19022514441200852,0.07627643624682331,0.023348111940770393,-0.1671449911668169,-0.03177159383398967,1.0,1.0,0.14454727459432767,0.07474267425075799,0.09240735238007827,0.1395626971960012,0.9680813331518173,0.023386819985012203,0.2669831215169831,0.28909600139195785
масс. конц-ция пыли  [мг/м3].1,0.2431815348388355,0.322914423727074,0.31789417763521904,0.19022514441200852,0.07627643624682331,0.023348111940770393,-0.1671449911668169,-0.03177159383398967,1.0,1.0,0.14454727459432767,0.07474267425075799,0.09240735238007827,0.1395626971960012,0.9680813331518173,0.023386819985012203,0.2669831215169831,0.28909600139195785
Текущий массовый расход CO,0.33697409617426227,0.26225434666680925,0.24292304035065942,0.6258485131730511,0.7812345821102364,0.04395565634150696,0.2613509520305121,0.5764789888330902,0.14454727459432767,0.14454727459432767,1.0,0.1936620971175538,0.7717578046103131,0.8905483810462504,0.2853794703574127,0.043927729621144246,0.3464018976025685,0.1897708869563891
Текущий массовый расход NO,0.16818775543087827,0.21039022211533034,0.22130024521733124,0.17753201093382348,0.1645420540306947,0.9618601887404856,-0.05861357023644063,0.1762739426111424,0.07474267425075799,0.07474267425075799,0.1936620971175538,1.0,0.15054889458522097,0.2570890957192855,0.09032609550647405,0.9618446883472013,0.07932423639131304,0.21531576113365064
Текущий массовый расход O2,0.4098905961957535,0.2920586274563113,0.2927412081549186,0.8284282352383826,0.49407585186708697,-0.04363686309738394,0.3385767979054597,0.42829612599970335,0.09240735238007827,0.09240735238007827,0.7717578046103131,0.15054889458522097,1.0,0.9358852768691174,0.27322272263560216,-0.04367687521790868,0.38862583299424197,0.2922437162523966
